LEVEL	F_A	F_B	F_C	F_D	F_E	F_F
F1SJP6	0.8095434046312429	-2.3726882948453967	-0.6701594050298488	1.0360234770171195	0.8120142012687476	0.8091502419013294
F1RHU2	-0.8357953109446074	0.4820181252181992	0.2310454815542987	-0.491697639196735	-0.1299124056315056	-0.0172608265173649
A0A480QG05	1.889153078755309	1.5500514279141095	-1.622155645917519	-0.3744933059229419	0.7299039979987858	-2.150019744255616
A0A286ZLL9	-0.3805779905629879	-0.0284856228245115	0.5657728969810295	1.0289440558572671	0.3005004075895421	1.6723585742232252
I3L5M7	-0.6180756335857586	-1.0491270560257742	-0.9118722339209012	0.2428022797182351	-0.0974097393570924	-0.4289360014031759
A0A287ADL8	3.5021864019323625	5.896466174711564	0.8526147647700023	0.1375767738850171	0.4821617005329074	2.7666121406982978
F1S1B9	-1.4370247902075428	-1.2268629286576604	0.9692849297992638	-1.9283180478633644	-0.272309151680697	-1.4770211275316407
A0A287AYJ4	-1.1994122759247714	-0.3292486077675956	-1.370267306900537	-0.9580088257851096	-1.2584664871551705	-0.5787389833198938
A0A8W4FFH5	1.1698290457663985	0.0830004177882108	-0.6919921986226792	1.0381705053739907	-3.4109600484725786	0.7665290912036831
A5GHK3	-0.4894811717186051	0.1860632442385697	0.1849662114956044	0.3850558604503376	-0.4017607520881439	-1.1107833741568411
A0A287BL58	-0.2736861289528569	-1.3455180937681708	-1.2495004218786885	-1.715874833361638	-1.9726174775281275	-1.3808742582708062
A0A5G2QR43	-0.1967666319049038	0.5849695789813315	0.1125879737254213	2.0584305755891825	-0.5996334573672268	-0.7283555181361534
P10173	-0.1579509711749578	-2.6865637323536404	0.8056555674328721	1.4707532349534385	1.5849121840038751	0.522494089068858
A0A287BAK1	0.6833120149752875	0.0038738969393027	-0.5148824491956907	4.737191788044724	-5.0362454196622135	0.6425507433024802
A0A287BND4	0.436377088243938	-1.539302980149864	-1.1114782173570172	0.7153793614216498	0.304011763392631	0.2311641089424714
F1SMT0	-0.6754839594079207	-3.0082097888678536	-2.197330545441469	-0.0057002761058112	1.5106016212010691	-1.2713519648803364
F1SUW3	2.0807832421199954	2.8364169440060736	2.022653015631316	0.5176558465273358	-3.925802339944137	0.0675800821716808
A0A287BLL9	-0.9876712945572876	0.7829835606906004	1.2992219679230794	0.4020546422662663	-0.8905922801071876	-0.534177938659653
A0A287A4R9	0.8153793591592432	0.50498831528394	0.5226521907172029	0.8768951828957708	-1.0675931790772906	-0.7192690781331462
A0A287AQG1	0.4242737323106871	-1.682241760389098	-2.497847059894576	-1.2410804348038569	1.762184064633883	1.4274670915602703
A0A287AEE1	-1.2017349895848248	-1.838278746635347	-1.0416749763067144	-1.029243391645083	0.4309799644964674	-0.2785815418613461
F1SPP8	0.7217197627149876	1.80281905471292	-0.0005487691290511	-0.4764600663743938	-0.7511487116013389	-0.6064425295272406
A0A286ZN21	-4.187200471339605	-2.9583272922102606	-1.937943737409288	4.829968404037135	4.15894123095822	-5.397620731932482
Q29387	1.0088367067966402	1.7753183542405273	0.6094484740182974	-0.9829742356849752	0.1312337167174505	-0.6719335577544195
A0A287BGF1	-1.7790805227389208	-0.3715707965414185	0.5244772276450906	-0.7117124551175479	-0.18183935088553	-2.5266620459037195
F1S982	0.3556283923107096	0.5216831700959563	-0.0964008949611665	0.3009670284837307	1.6775648704485302	-0.2658727626044926
A0A286ZN24	-0.9615305466401988	-2.751693815581345	3.705649056557693	-1.1654111598983408	-7.261313207507184	-1.236171014998103
A0A173G6G6	0.7418540299413987	-0.7196134115994174	-1.4323105900036248	-1.269474578162068	0.2845515155126888	0.0707257578344706
F1RZT9	0.7304225004719467	-1.9415895331350663	-2.6173255639485453	-0.3461913606516829	-0.4657641091748346	1.4345608797625842
A0A286ZSR3		-0.603544672047362	-0.840164027198266			-1.6736185383991236
A0A5G2R1W3	-2.181721425748055	-3.403158267347848	-5.903196839056217	-0.5649880869720543	0.8018226078982821	-0.5761513808878549
A0A5G2QSW4	-1.7163580460275711	0.1168158032196115	-0.9661654888214826	-0.1378176177339876	0.7832643913279101	-0.6299799722919404
P29804	-1.0386158395432945	-3.63738617942838	-1.2122358821116672	-1.831611985145804	1.6466217651956183	2.118284375196687
K7GR72	0.0029858419272678	-3.071176158213055	-0.3071625251233044	6.702909927537765	-2.2658653748024387	2.2021927786700446
P26234	2.3249008570314085	2.5758339687580527	-0.3077325560773905	1.955935857918185	-1.495394149207162	0.9120601602953108
Q06AT9	-0.8815363531319639	-0.0782300189981784	-1.0939004568251651	0.5526718974863216	-0.2493845286720743	-0.3023851295728263
A0A287BG40	-0.923636120147195	-0.1003496447801442	-0.9353292896463198	-2.177008779651215	0.8648698914926137	0.8914540726504572
A0A5G2QSG9	-0.8457256791072456	-1.0181592156691492	-1.4423539701581285	-1.8091351016063344	1.2072768154062978	1.557446593296096
A0A5G2RGK0	-1.1137152724092665	0.4342282737032227	0.437423307341424	-1.1827843648818424	0.2114839979253961	0.3712742962504208
A0A480KRK1	-2.2185447539035734	-0.3508870330005414	-0.0602631932404584	-0.4348985910184077	1.58010250841235	-0.2045167600072024
A0A286ZT13	1.9980940913301373	1.7395948532690748	22.27079188425356	2.804848393766476	-3.939945820929913	0.0626383420590723
B8XSJ0	-0.0631147154080037	-0.4868838953924777	-0.9928234665794002	0.5586219938822548	1.4985811906443396	-0.633432047761043
A0A287AAG0	-0.5648359772719331	-0.365297654741349	0.3926138015309792	2.2168986812430336	0.2498605227066787	-2.3343745027081706
A0A287AAP0	0.5839994487037108	-1.3495304849156269	0.5357325791095715	-0.9170388068030114	0.8130974180278022	0.1476704645170746
A0A287A178	0.9480111306928432	1.1225945227983865	0.3853371787158103	0.1027494432713813	-0.8099889566054809	2.4315153370972835
F1ST73	0.0761413255411267	0.7281369717861573	0.7990079165965001	0.2194340972806315	-0.0113836821483049	-0.3279735965413473
I3LPP4	-2.141041666697843	-2.3258286296092945	-2.433597818307762	-0.3311248844436453	1.5071881410261168	-2.699196514084872
A0A5G2Q9Z1	-0.5651507080510103	-1.053555153778717	-1.095513652935047	-0.1326586364581371	-0.7566456673316063	-0.8134512519761331
A0A480UG54	-0.2475308714152722	2.108325989573623	1.5485754462246026	0.1935442154391033	2.5052761257752665	0.6247810294048648
A0A5G2QH97	0.8168595298570986	-0.5914534776654907	1.0448473915500949	0.510480381858634	1.2421737478673016	3.224645941382956
P50390	-0.0272761815495061	0.0930742797125054	5.392470342009058	0.664877447679655	-1.502351506980982	0.0019937622575692
F1SGP8	0.2062437016829365	0.1622845979185865	-0.7353816140738281	-4.874398714200531	2.1469987548548626	0.3439194248052956
A0A287AS73	0.2649986717755865	-1.3749823271839283	0.6761813211195333	-0.2245129101892052	1.4392186012184356	0.824982303605989
A0A5G2QFD1	0.8468905676712479	0.0619259617690042	0.2714177388407688	0.5266115454658589	-0.3896890510081862	-0.3375325075915449
F1RL80	0.431331235663637	1.2648593002407726	-0.2572530137593751	-0.4800273886004241	-0.9188136458475862	1.2703620052786937
A0A8W4FR13	1.1466365395276354	1.2227336354604963	2.9267956552748697	0.636841342089378	1.384416747542763	3.3843806702230825
A0A5G2QXR0	-0.1108778163625845	-0.2855411298210118	-0.588327631786644	0.2051538047134194	-0.9049525862874908	-0.9933533476099788
I3LEG2	3.3686434082761347	0.7713075827139065	1.905284128722496	4.793614755236957	-1.5168907653262365	-0.2583614163378221
A0A5G2QVX8	1.160871310535139	1.8930566830622588	-0.1788630640560147	-0.901954781714668	-1.323923268140023	0.6379233124469494
A0A286ZVC5	0.7266507038618941	-0.1733132533378862	0.3056128321504496	0.9983004318688448	-1.508116916381467	-0.8075881880849389
A0A287BRF7	-0.6777911151605037			0.4288611629864018	0.3487088547859654	
K7GND3	-2.061737519627295	-2.3956626435270003	-1.1931840026662548	-1.663074048768704	0.4688762761003158	-1.5524061427656124
A0A287AWP1	-1.0264030257232115	-0.0978999714757858	-0.0433250062244136	0.6942084296843204	-0.3002776513202637	-0.5449698165742816
A0A5G2RFE7	-1.6134081346126818	1.585302356736105	3.014915417221634	-3.790913301001764	-1.5389497709572306	0.9016311581948412
A0A287AJY4	-0.0291951959033401	-0.5394855984896255	-0.7415407902623441	0.5740496756937974	0.6377785317355936	-0.4529354153225611
A0A5G2QJD9	1.886240048539847	2.964314299613357	2.601702140390284	-0.4467850022395269	-2.0125312253886074	0.560322010482573
A0A286ZT82	6.6148592325134405	-1.3429419224878114	-9.16330772311241	-3.3526648536976213	0.0773233797626009	3.256972481573883
A0A286ZLL7	1.3863518567810698	0.3038077534023011	-0.090499388709895	-0.3120798655749779	-0.2132017298957168	0.2797873261977858
A0A287B883	-0.2504742035256364	-0.7478558137260926	0.9683017096767428	-4.760252487784762	0.6733465963499758	0.1698249504898507
A0A287BRL8	1.71203000092781	0.28020485318224	-1.2906354451673303	-2.3649027832545984	0.2455852487499727	1.950184081233812
A0A286ZRH7	-0.2287867368401507	-1.3152455060029131	-0.5051186185217029	-0.7052487929056391	0.1465218164803972	1.2447593195117763
